t-t0,M[deg],E[Deg],f[Deg],r[km],v[km/s],ƒÓ[deg]
0,0,0.0009061878964334544,0.002397547814766199,6652.500002496132,10.239765617794236,0.0010275204920181778
30,15,45.814601767227565,96.3779661982823,12699.97422446398,6.91312536831544,39.11461724210823
60,30,70.50979915405019,123.73224700835665,19951.267204901553,4.997742579393271,46.907927292368576
90,45,87.94417609775137,137.21194866366034,25894.060663779645,3.9758360335653173,48.572076666452034
120,60,102.02836847074943,145.98071669673718,30769.062549353446,3.305986712548469,47.95855582317051
150,75,114.19653885507152,152.51795533171372,34789.939280825354,2.816939656157161,45.96527322393785
180,90,125.14047115408997,157.8027426090456,38097.197974042276,2.4384317927938515,42.83772154718032
210,105,135.25221843810942,162.31315971900133,40784.06864049511,2.137149383281979,38.598494166772454
240,120,144.78161895487216,166.3185058225219,42914.47782646386,1.8965927273210492,33.181075129157094
270,135,153.902983701549,169.98766964299938,44532.84254557028,1.7093839979673104,26.509612588008775
300,150,162.74598867325423,173.43605143664902,45669.39615453328,1.5736900679873016,18.588942787347545
330,165,171.41482638103363,176.74989633092372,46343.87707223453,1.4907905475605754,9.607223252356055
360,180,179.9999999999998,179.99999999999994,46567.5,1.4628236599985345,2.5005006496097785e-13
390,195,188.5851724421526,183.2501032221362,46343.87713342605,1.4907905399429995,-9.607221969676731
420,210,197.25411621211035,186.56398898588895,45669.385318179455,1.5736913839398299,-18.589044822682574
450,225,206.09700907612114,190.01232750249568,44532.84365221251,1.7093838678504296,-26.509606698758105
480,240,215.21809238088264,193.68137578536516,42914.53581213793,1.8965861102468924,-33.18088781885771
510,255,224.74817026843914,197.6870080322309,40783.97332321789,2.137160070937467,-38.59868536277574
540,270,234.8598790169149,202.197419169758,38097.09823122154,2.4384430262131005,-42.837844432538816
570,285,245.8031643202403,207.48189449950223,34790.03358845816,2.8169286309058417,-45.965206572949675
600,300,257.9716293276587,214.01928204388378,30769.06329938403,3.3059866170324526,-47.95855558986904
630,315,272.05582410430907,222.78805147368533,25894.06059344246,3.9758360440821034,-48.57207666285358
660,330,289.49037178418723,236.2679037923062,19951.21107486243,4.997753825652546,-46.90789710953262
690,345,314.1790313959493,263.61321057188457,12701.564613183995,6.912556890506692,-39.117646034526274
720,360,360.00000002522455,6.673782593225042e-08,6652.5,10.239765619989743,2.8601925399535895e-08
