t-t0,Rx[km],Ry[km],Rz[km],Vx[km/s],Vy[km/s],Vz[km/s]
0,2106.2712245872062,-2106.271224587208,-5948.361060573897,7.240607707655621,7.240607707655619,-1.681917020871624e-15
30,8477.97827327058,9371.332552656666,1261.469498031693,0.8023654432830637,4.4846305921726275,5.19957790114512
60,8224.73882257092,15240.26509650551,9906.34131544102,-0.735165689988865,2.3462443899222887,4.35113472496773
90,6421.098314132046,18454.25610547309,16991.536134142087,-1.1917173015084808,1.3251799961122617,3.554009024066934
120,4097.869708287828,20247.004447585405,22803.54095043604,-1.362715255630354,0.7102386586113619,2.9271345019339243
150,1580.2846411505636,21124.256255536075,27597.25299450839,-1.4223994102731008,0.28744042317316193,2.414395773527029
180,-990.6785256502912,21345.529792348734,31540.057673648174,-1.4276433785982807,-0.027822401400744955,1.9766306673463192
210,-3540.709912352052,21064.040429199154,34743.3742455246,-1.40164608881541,-0.2759439401329133,1.5895585404343275
240,-6024.41134089855,20379.129450668013,37283.373592261276,-1.3551582899259433,-0.4787888719002791,1.2374858612720494
270,-8410.201677136994,19359.72881691145,39212.797306770146,-1.293453076231845,-0.6492670143588247,0.9096291212355375
300,-10673.240501036395,18056.27605264621,40567.79002678797,-1.21902621372582,-0.7954747665480603,0.598079892592103
330,-12791.608250103134,16507.38313204081,41371.92243268463,-1.1327500767800116,-0.9226852155957239,0.29662410659110783
360,-14743.89857211044,14743.898572110462,41638.52742401727,-1.0343725296650887,-1.034372529665088,9.813206672917005e-16
390,-16507.383132040803,12791.60825010314,41371.92243268463,-0.9226852155957233,-1.1327500767800116,-0.29662410659110877
420,-18056.27605264618,10673.240501036427,40567.79002678797,-0.795474766548063,-1.2190262137258203,-0.5980798925920995
450,-19359.728816911418,8410.201677137029,39212.79730677015,-0.6492670143588274,-1.293453076231846,-0.9096291212355347
480,-20379.12945066801,6024.411340898556,37283.373592261276,-0.47878887190027875,-1.3551582899259431,-1.2374858612720494
510,-21064.040429199147,3540.7099123520716,34743.37424552462,-0.2759439401329146,-1.4016460888154096,-1.5895585404343253
540,-21345.529792348716,990.6785256509315,31540.057673649055,-0.027822401400813206,-1.4276433785982774,-1.9766306673462184
570,-21124.256255536075,-1580.2846411505475,27597.252994508413,0.2874404231731606,-1.4223994102731015,-2.414395773527028
600,-20247.004447585412,-4097.869708287805,22803.540950436083,0.7102386586113574,-1.362715255630356,-2.9271345019339203
630,-18454.2561054731,-6421.098314132029,16991.536134142123,1.3251799961122575,-1.1917173015084828,-3.5540090240669304
660,-15240.265096505513,-8224.738822570907,9906.34131544104,2.3462443899222847,-0.7351656899888663,-4.351134724967727
690,-9371.332552656495,-8477.978273270548,1261.4694980314978,4.484630592172698,0.8023654432831269,-5.19957790114513
720,2106.271224587191,-2106.271224587223,-5948.361060573897,7.240607707655627,7.240607707655613,-1.855153801521905e-14
